情景分组,MO,IV,RA1,RA2,RA3,PU1,PU2,PU3,PU4,MC1,MC2,MC3
4,1,0,5,6,6,4,5,4,5,6,6,5
4,1,0,7,6,5,6,5,4,7,4,6,5
4,1,0,7,6,5,6,6,5,6,6,5,6
4,1,0,7,6,5,4,5,4,6,5,6,5
4,1,0,4,5,5,6,6,5,6,6,7,5
4,1,0,7,7,6,5,5,4,6,3,6,5
4,1,0,7,6,5,6,6,5,7,6,5,6
4,1,0,6,5,6,5,4,4,5,5,6,5
4,1,0,6,5,4,5,6,5,6,6,5,6
4,1,0,7,6,5,7,6,6,7,3,5,6
4,1,0,7,6,5,6,6,5,6,6,5,6
4,1,0,7,6,6,5,6,5,6,5,7,6
4,1,0,7,7,7,6,6,5,7,6,5,6
4,1,0,7,7,7,6,6,6,7,6,6,7
4,1,0,7,6,5,6,6,5,7,5,6,6
4,1,0,7,6,5,6,6,5,7,6,7,6
4,1,0,7,6,7,5,6,5,6,5,6,5
4,1,0,7,6,6,5,5,4,6,6,7,6
4,1,0,7,7,6,5,5,4,6,6,5,6
4,1,0,6,5,4,5,6,5,6,5,4,6
4,1,0,7,6,6,5,5,4,6,4,6,6
4,1,0,7,6,6,5,5,4,6,3,6,4
4,1,0,7,6,5,6,5,4,7,5,6,5
4,1,0,5,6,7,5,6,5,6,2,5,6
4,1,0,6,5,5,4,4,4,5,6,6,5
4,1,0,7,6,6,5,5,4,6,5,6,5
4,1,0,6,5,5,6,6,5,6,5,6,5
4,1,0,4,6,6,5,5,4,6,5,5,6
